#Release 12.4 - par M.81d (nt64)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Mon Oct 21 14:40:28 2013

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Shifter_map.ncd
#OUTPUT FILE:      Shifter_pad.csv
#PART TYPE:        xc3s400
#SPEED GRADE:      -4
#PACKAGE:          pq208
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P65,RegImm,IOB,IO_L27N_5/VREF_5,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
P66,,,GND,,,,,,,,,,,,
P67,out<7>,IOB,IO_L28P_5/D7,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P68,out<8>,IOB,IO_L28N_5/D6,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P69,,,VCCAUX,,,,,,,,2.5,,,,
P70,,,VCCINT,,,,,,,,1.2,,,,
P71,out<1>,IOB,IO,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P72,out<10>,IOB,IO_L31P_5/D5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P73,,,VCCO_5,,,5,,,,,2.50,,,,
P74,out<11>,IOB,IO_L31N_5/D4,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P75,,,GND,,,,,,,,,,,,
P76,out<12>,IOB,IO_L32P_5/GCLK2,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P77,out<13>,IOB,IO_L32N_5/GCLK3,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P78,out<14>,IOB,IO/VREF_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P79,out<15>,IOB,IO_L32P_4/GCLK0,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P80,out<16>,IOB,IO_L32N_4/GCLK1,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P81,out<6>,IOB,IO_L31P_4/DOUT/BUSY,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P82,,,GND,,,,,,,,,,,,
P83,out<18>,IOB,IO_L31N_4/INIT_B,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P84,,,VCCO_4,,,4,,,,,2.50,,,,
P85,out<19>,IOB,IO/VREF_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P86,out<20>,IOB,IO_L30P_4/D3,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P87,out<21>,IOB,IO_L30N_4/D2,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P88,,,VCCINT,,,,,,,,1.2,,,,
P89,,,VCCAUX,,,,,,,,2.5,,,,
P90,out<22>,IOB,IO_L27P_4/D1,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P91,,,GND,,,,,,,,,,,,
P92,out<17>,IOB,IO_L27N_4/DIN/D0,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P93,out<24>,IOB,IO,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P94,out<25>,IOB,IO_L25P_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P95,out<26>,IOB,IO_L25N_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P96,out<27>,IOB,IO/VREF_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P97,out<28>,IOB,IO,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P98,,,VCCO_4,,,4,,,,,2.50,,,,
P99,,,GND,,,,,,,,,,,,
P100,rs<9>,IOB,IO_L01P_4/VRN_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
P101,rs<8>,IOB,IO_L01N_4/VRP_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
P102,rs<7>,IOB,IO/VREF_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
P103,,,DONE,,,,,,,,,,,,
P104,,,CCLK,,,,,,,,,,,,
P105,,,GND,,,,,,,,,,,,
P106,out<23>,IOB,IO_L01P_3/VRN_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P107,rs<0>,IOB,IO_L01N_3/VRP_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P108,rs<1>,IOB,IO_L17P_3/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P109,rs<2>,IOB,IO_L17N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P110,,,VCCO_3,,,3,,,,,2.50,,,,
P111,rs<3>,IOB,IO_L19P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P112,,,GND,,,,,,,,,,,,
P113,rs<4>,IOB,IO_L19N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P114,rs<5>,IOB,IO_L20P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P115,rs<6>,IOB,IO_L20N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P116,out<31>,IOB,IO_L21P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P117,rs<10>,IOB,IO_L21N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P118,,,GND,,,,,,,,,,,,
P119,out<29>,IOB,IO_L22P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P120,out<30>,IOB,IO_L22N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P121,,,VCCAUX,,,,,,,,2.5,,,,
P122,rs<11>,IOB,IO_L23P_3/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P123,rs<12>,IOB,IO_L23N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P124,rs<13>,IOB,IO_L24P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P125,rs<14>,IOB,IO_L24N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P126,rs<15>,IOB,IO_L39P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P127,,,VCCO_3,,,3,,,,,2.50,,,,
P128,rs<16>,IOB,IO_L39N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P129,,,GND,,,,,,,,,,,,
P130,rs<17>,IOB,IO_L40P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P131,rs<18>,IOB,IO_L40N_3/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P132,rs<19>,IOB,IO_L40P_2/VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P133,rs<20>,IOB,IO_L40N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P134,,,GND,,,,,,,,,,,,
P135,rs<21>,IOB,IO_L39P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P136,,,VCCO_2,,,2,,,,,2.50,,,,
P137,rs<22>,IOB,IO_L39N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P138,rs<23>,IOB,IO_L24P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P139,rs<24>,IOB,IO_L24N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P140,rs<25>,IOB,IO_L23P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P141,rs<26>,IOB,IO_L23N_2/VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P142,,,VCCAUX,,,,,,,,2.5,,,,
P143,rs<27>,IOB,IO_L22P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P144,rs<28>,IOB,IO_L22N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P145,,,GND,,,,,,,,,,,,
P146,rs<29>,IOB,IO_L21P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P147,rs<30>,IOB,IO_L21N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P148,sh<3>,IOB,IO_L20P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P149,sh<4>,IOB,IO_L20N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P150,sh<0>,IOB,IO_L19P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P151,,,GND,,,,,,,,,,,,
P152,sh<1>,IOB,IO_L19N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P153,,,VCCO_2,,,2,,,,,2.50,,,,
P154,sh<2>,IOB,IO/VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P155,rs<31>,IOB,IO_L01P_2/VRN_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P156,AL,IOB,IO_L01N_2/VRP_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P157,,,GND,,,,,,,,,,,,
P158,,,TDO,,,,,,,,,,,,
P159,,,TCK,,,,,,,,,,,,
P160,,,TMS,,,,,,,,,,,,
P161,rt<0>,IOB,IO_L01P_1/VRN_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P162,rt<1>,IOB,IO_L01N_1/VRP_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P163,,,GND,,,,,,,,,,,,
P164,,,VCCO_1,,,1,,,,,2.50,,,,
P165,rt<2>,IOB,IO_L10P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P166,rt<3>,IOB,IO_L10N_1/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P167,rt<4>,IOB,IO,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P168,rt<5>,IOB,IO_L27P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P169,rt<6>,IOB,IO_L27N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P170,,,GND,,,,,,,,,,,,
P171,rt<7>,IOB,IO_L28P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P172,rt<8>,IOB,IO_L28N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P173,,,VCCAUX,,,,,,,,2.5,,,,
P174,,,VCCINT,,,,,,,,1.2,,,,
P175,rt<9>,IOB,IO,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P176,rt<16>,IOB,IO_L31P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P177,,,VCCO_1,,,1,,,,,2.50,,,,
P178,rt<11>,IOB,IO_L31N_1/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P179,,,GND,,,,,,,,,,,,
P180,rt<10>,IOB,IO_L32P_1/GCLK4,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P181,rt<17>,IOB,IO_L32N_1/GCLK5,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P182,rt<19>,IOB,IO,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P183,rt<18>,IOB,IO_L32P_0/GCLK6,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P184,rt<20>,IOB,IO_L32N_0/GCLK7,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P185,rt<13>,IOB,IO_L31P_0/VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P186,,,GND,,,,,,,,,,,,
P187,rt<15>,IOB,IO_L31N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P188,,,VCCO_0,,,0,,,,,2.50,,,,
P189,rt<14>,IOB,IO,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P190,rt<12>,IOB,IO_L30P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P191,rt<21>,IOB,IO_L30N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P192,,,VCCINT,,,,,,,,1.2,,,,
P193,,,VCCAUX,,,,,,,,2.5,,,,
P194,rt<22>,IOB,IO_L27P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P195,,,GND,,,,,,,,,,,,
P196,rt<23>,IOB,IO_L27N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P197,rt<24>,IOB,IO,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P198,rt<30>,IOB,IO_L25P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P199,rt<26>,IOB,IO_L25N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P200,rt<27>,IOB,IO/VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P201,,,VCCO_0,,,0,,,,,2.50,,,,
P202,,,GND,,,,,,,,,,,,
P203,rt<28>,IOB,IO_L01P_0/VRN_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P204,,DIFFS,IO_L01N_0/VRP_0,UNUSED,,0,,,,,,,,,
P205,rt<25>,IOB,IO/VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P206,,,HSWAP_EN,,,,,,,,,,,,
P207,,,PROG_B,,,,,,,,,,,,
P208,,,TDI,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
