#Release 12.4 - par M.81d (nt64)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Mon Oct 21 15:15:03 2013

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       RegFile_map.ncd
#OUTPUT FILE:      RegFile_pad.csv
#PART TYPE:        xc3s1000l
#SPEED GRADE:      -4
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
B12,reData2<2>,IOB,IO_L27N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B13,,DIFFM,IO_L10P_1,UNUSED,,1,,,,,,,,,
B14,,DIFFM,IO_L01P_1/VRN_1,UNUSED,,1,,,,,,,,,
B15,,,GND,,,,,,,,,,,,
B16,,DIFFS,IO_L01N_2/VRP_2,UNUSED,,2,,,,,,,,,
C1,,DIFFS,IO_L01N_7/VRP_7,UNUSED,,7,,,,,,,,,
C2,,DIFFS,IO_L16N_7,UNUSED,,7,,,,,,,,,
C3,reData1<14>,IOB,IO_L16P_7/VREF_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C4,,,HSWAP_EN,,,,,,,,,,,,
C5,read1Add<2>,IOB,IO_L25N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C6,writeData<19>,IOB,IO_L28N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C7,read1Add<4>,IOB,IO_L30N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C8,reData1<31>,IOB,IO_L31P_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C9,reData2<20>,IOB,IO_L32N_1/GCLK5,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C10,,IOB,IO,UNUSED,,1,,,,,,,,,
C11,,DIFFM,IO_L29P_1,UNUSED,,1,,,,,,,,,
C12,reData2<12>,IOB,IO_L27P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C13,,,TMS,,,,,,,,,,,,
C14,,,TCK,,,,,,,,,,,,
C15,,DIFFS,IO_L16N_2,UNUSED,,2,,,,,,,,,
C16,,DIFFM,IO_L01P_2/VRN_2,UNUSED,,2,,,,,,,,,
D1,reData1<10>,IOB,IO_L17N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D2,reData1<11>,IOB,IO_L17P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D3,writeData<14>,IOB,IO_L19P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
D4,,,VCCINT,,,,,,,,1.2,,,,
D5,reData2<0>,IOB,IO/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D6,reData1<1>,IOB,IO_L27P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D7,reData1<19>,IOB,IO_L29P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D8,writeData<1>,IOB,IO_L31N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D9,writeAdd<4>,IOB,IO_L32P_1/GCLK4,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
D10,writeData<20>,IOB,IO_L30N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
D11,reData1<12>,IOB,IO_L28N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D12,,IOB,IO/VREF_1,UNUSED,,1,,,,,,,,,
D13,,,VCCINT,,,,,,,,1.2,,,,
D14,,DIFFM,IO_L16P_2,UNUSED,,2,,,,,,,,,
D15,,DIFFS,IO_L17N_2,UNUSED,,2,,,,,,,,,
D16,,DIFFM,IO_L17P_2/VREF_2,UNUSED,,2,,,,,,,,,
E1,reData2<13>,IOB,IO_L20N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E2,reData2<7>,IOB,IO_L20P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E3,writeData<15>,IOB,IO_L19N_7/VREF_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
E4,reData1<25>,IOB,IO_L21P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E5,,,VCCINT,,,,,,,,1.2,,,,
E6,reData1<0>,IOB,IO_L27N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E7,reData2<19>,IOB,IO_L29N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E8,,,VCCO_0,,,0,,,,,2.50,,,,
E9,,,VCCO_1,,,1,,,,,2.50,,,,
E10,reData1<13>,IOB,IO_L30P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E11,reData1<17>,IOB,IO_L28P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E12,,,VCCINT,,,,,,,,1.2,,,,
E13,,DIFFS,IO_L19N_2,UNUSED,,2,,,,,,,,,
E14,,DIFFM,IO_L19P_2,UNUSED,,2,,,,,,,,,
E15,,DIFFS,IO_L20N_2,UNUSED,,2,,,,,,,,,
E16,,DIFFM,IO_L20P_2,UNUSED,,2,,,,,,,,,
F1,,,VCCAUX,,,,,,,,2.5,,,,
F2,reData1<26>,IOB,IO_L22N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F3,reData1<5>,IOB,IO_L22P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F4,reData1<8>,IOB,IO_L21N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F5,writeData<0>,IOB,IO_L23P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
F6,,,GND,,,,,,,,,,,,
F7,,,VCCO_0,,,0,,,,,2.50,,,,
F8,,,VCCO_0,,,0,,,,,2.50,,,,
F9,,,VCCO_1,,,1,,,,,2.50,,,,
F10,,,VCCO_1,,,1,,,,,2.50,,,,
F11,,,GND,,,,,,,,,,,,
F12,,DIFFS,IO_L21N_2,UNUSED,,2,,,,,,,,,
F13,,DIFFM,IO_L21P_2,UNUSED,,2,,,,,,,,,
F14,,DIFFS,IO_L22N_2,UNUSED,,2,,,,,,,,,
F15,,DIFFM,IO_L22P_2,UNUSED,,2,,,,,,,,,
F16,,,VCCAUX,,,,,,,,2.5,,,,
G1,reData1<4>,IOB,IO_L40P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G2,reData2<14>,IOB,IO,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G3,reData1<7>,IOB,IO_L24N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G4,reData1<9>,IOB,IO_L24P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G5,read2Add<4>,IOB,IO_L23N_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
G6,,,VCCO_7,,,7,,,,,2.50,,,,
G7,,,GND,,,,,,,,,,,,
G8,,,GND,,,,,,,,,,,,
G9,,,GND,,,,,,,,,,,,
G10,,,GND,,,,,,,,,,,,
G11,,,VCCO_2,,,2,,,,,2.50,,,,
G12,read1Add<0>,IOB,IO_L23N_2/VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
G13,,DIFFM,IO_L23P_2,UNUSED,,2,,,,,,,,,
G14,writeData<12>,IOB,IO_L24N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
G15,writeData<13>,IOB,IO_L24P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
G16,writeData<23>,IOB,IO,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
H1,reData1<15>,IOB,IO_L40N_7/VREF_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H2,,,GND,,,,,,,,,,,,
H3,reData2<6>,IOB,IO_L39N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H4,writeData<8>,IOB,IO_L39P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
H5,,,VCCO_7,,,7,,,,,2.50,,,,
H6,,,VCCO_7,,,7,,,,,2.50,,,,
H7,,,GND,,,,,,,,,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,VCCO_2,,,2,,,,,2.50,,,,
H12,,,VCCO_2,,,2,,,,,2.50,,,,
H13,reData2<23>,IOB,IO_L39N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H14,reData2<16>,IOB,IO_L39P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H15,reData1<3>,IOB,IO_L40N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H16,reData1<16>,IOB,IO_L40P_2/VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J1,writeData<11>,IOB,IO_L40P_6/VREF_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
J2,reData2<17>,IOB,IO_L40N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J3,reData2<15>,IOB,IO_L39P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J4,reData2<5>,IOB,IO_L39N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J5,,,VCCO_6,,,6,,,,,2.50,,,,
J6,,,VCCO_6,,,6,,,,,2.50,,,,
J7,,,GND,,,,,,,,,,,,
J8,,,GND,,,,,,,,,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,GND,,,,,,,,,,,,
J11,,,VCCO_3,,,3,,,,,2.50,,,,
J12,,,VCCO_3,,,3,,,,,2.50,,,,
J13,writeData<16>,IOB,IO_L39P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J14,reData2<22>,IOB,IO_L39N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J15,,,GND,,,,,,,,,,,,
J16,reData1<22>,IOB,IO_L40N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K1,reData2<10>,IOB,IO,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K2,reData2<8>,IOB,IO_L24P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K3,reData2<11>,IOB,IO_L24N_6/VREF_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K4,writeData<7>,IOB,IO_L23P_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
K5,reData2<25>,IOB,IO_L23N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K6,,,VCCO_6,,,6,,,,,2.50,,,,
K7,,,GND,,,,,,,,,,,,
K8,,,GND,,,,,,,,,,,,
K9,,,GND,,,,,,,,,,,,
K10,,,GND,,,,,,,,,,,,
K11,,,VCCO_3,,,3,,,,,2.50,,,,
K12,,DIFFS,IO_L23N_3,UNUSED,,3,,,,,,,,,
K13,,DIFFM,IO_L24P_3,UNUSED,,3,,,,,,,,,
K14,reData2<3>,IOB,IO_L24N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K15,writeAdd<3>,IOB,IO,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K16,reData1<23>,IOB,IO_L40P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L1,,,VCCAUX,,,,,,,,2.5,,,,
L2,reData2<9>,IOB,IO_L22P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
L3,writeData<9>,IOB,IO_L22N_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
L4,,DIFFM,IO_L21P_6,UNUSED,,6,,,,,,,,,
L5,readEn,IOB,IO_L21N_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
L6,,,GND,,,,,,,,,,,,
L7,,,VCCO_5,,,5,,,,,2.50,,,,
L8,,,VCCO_5,,,5,,,,,2.50,,,,
L9,,,VCCO_4,,,4,,,,,2.50,,,,
L10,,,VCCO_4,,,4,,,,,2.50,,,,
L11,,,GND,,,,,,,,,,,,
L12,,DIFFM,IO_L23P_3/VREF_3,UNUSED,,3,,,,,,,,,
L13,writeData<22>,IOB,IO_L21N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L14,writeData<2>,IOB,IO_L22P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L15,,DIFFS,IO_L22N_3,UNUSED,,3,,,,,,,,,
L16,,,VCCAUX,,,,,,,,2.5,,,,
M1,,DIFFM,IO_L20P_6,UNUSED,,6,,,,,,,,,
M2,reData1<24>,IOB,IO_L20N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M3,read1Add<3>,IOB,IO_L19P_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
M4,read2Add<3>,IOB,IO_L19N_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
M5,,,VCCINT,,,,,,,,1.2,,,,
M6,writeData<27>,IOB,IO_L28P_5/D7,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
M7,writeEn,IOB,IO_L30P_5,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
M8,,,VCCO_5,,,5,,,,,2.50,,,,
M9,,,VCCO_4,,,4,,,,,2.50,,,,
M10,reData1<2>,IOB,IO_L29N_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M11,reData1<29>,IOB,IO_L27N_4/DIN/D0,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M12,,,VCCINT,,,,,,,,1.2,,,,
M13,,DIFFM,IO_L21P_3,UNUSED,,3,,,,,,,,,
M14,,DIFFS,IO_L19N_3,UNUSED,,3,,,,,,,,,
M15,,DIFFM,IO_L20P_3,UNUSED,,3,,,,,,,,,
M16,,DIFFS,IO_L20N_3,UNUSED,,3,,,,,,,,,
N1,reData1<28>,IOB,IO_L17P_6/VREF_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N2,,DIFFS,IO_L17N_6,UNUSED,,6,,,,,,,,,
N3,,DIFFM,IO_L16P_6,UNUSED,,6,,,,,,,,,
N4,,,VCCINT,,,,,,,,1.2,,,,
N5,writeData<30>,IOB,IO,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
N6,writeData<5>,IOB,IO_L28N_5/D6,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
N7,writeData<31>,IOB,IO_L30N_5,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
N8,writeAdd<1>,IOB,IO_L32P_5/GCLK2,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
N9,writeAdd<0>,IOB,IO_L31N_4/INIT_B,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
N10,reData2<29>,IOB,IO_L29P_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N11,,DIFFM,IO_L27P_4/D1,UNUSED,,4,,,,,,,,,
N12,writeData<3>,IOB,IO/VREF_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,,DIFFM,IO_L19P_3,UNUSED,,3,,,,,,,,,
N15,,DIFFM,IO_L17P_3/VREF_3,UNUSED,,3,,,,,,,,,
N16,,DIFFS,IO_L17N_3,UNUSED,,3,,,,,,,,,
P1,,DIFFM,IO_L01P_6/VRN_6,UNUSED,,6,,,,,,,,,
P2,,DIFFS,IO_L16N_6,UNUSED,,6,,,,,,,,,
P3,,,M0,,,,,,,,,,,,
P4,,,M2,,,,,,,,,,,,
P5,writeData<4>,IOB,IO_L27P_5,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
P6,,DIFFM,IO_L29P_5/VREF_5,UNUSED,,5,,,,,,,,,
P7,writeData<24>,IOB,IO,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
P8,reData2<28>,IOB,IO_L32N_5/GCLK3,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P9,,DIFFM,IO_L31P_4/DOUT/BUSY,UNUSED,,4,,,,,,,,,
P10,,DIFFS,IO_L30N_4/D2,UNUSED,,4,,,,,,,,,
P11,reData1<27>,IOB,IO_L28N_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P12,,DIFFS,IO_L25N_4,UNUSED,,4,,,,,,,,,
P13,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,,,
P14,,DIFFM,IO_L16P_3,UNUSED,,3,,,,,,,,,
P15,,DIFFS,IO_L16N_3,UNUSED,,3,,,,,,,,,
P16,,DIFFS,IO_L01N_3/VRP_3,UNUSED,,3,,,,,,,,,
R1,,DIFFS,IO_L01N_6/VRP_6,UNUSED,,6,,,,,,,,,
R2,,,GND,,,,,,,,,,,,
R3,read1Add<1>,IOB,IO_L01P_5/CS_B,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
R4,writeData<17>,IOB,IO_L10P_5/VRN_5,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
R5,reData2<31>,IOB,IO_L27N_5/VREF_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R6,writeData<18>,IOB,IO_L29N_5,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
R7,reData2<30>,IOB,IO_L31P_5/D5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R8,,,GND,,,,,,,,,,,,
R9,reData2<24>,IOB,IO_L32N_4/GCLK1,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R10,,DIFFM,IO_L30P_4/D3,UNUSED,,4,,,,,,,,,
R11,writeData<28>,IOB,IO_L28P_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
R12,writeData<26>,IOB,IO_L25P_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
R13,,DIFFS,IO_L01N_4/VRP_4,UNUSED,,4,,,,,,,,,
R14,,,DONE,,,,,,,,,,,,
R15,,,GND,,,,,,,,,,,,
R16,,DIFFM,IO_L01P_3/VRN_3,UNUSED,,3,,,,,,,,,
T1,,,GND,,,,,,,,,,,,
T2,,,M1,,,,,,,,,,,,
T3,,DIFFS,IO_L01N_5/RDWR_B,UNUSED,,5,,,,,,,,,
T4,read2Add<1>,IOB,IO_L10N_5/VRP_5,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
T5,writeData<25>,IOB,IO,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
T6,,,VCCAUX,,,,,,,,2.5,,,,
T7,writeData<29>,IOB,IO_L31N_5/D4,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
T8,writeAdd<2>,IOB,IO/VREF_5,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
T9,clk,IOB,IO_L32P_4/GCLK0,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
T10,reData2<26>,IOB,IO/VREF_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T11,,,VCCAUX,,,,,,,,2.5,,,,
T12,reData2<27>,IOB,IO,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T13,,DIFFM,IO_L01P_4/VRN_4,UNUSED,,4,,,,,,,,,
T14,read2Add<0>,IOB,IO,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
T15,,,CCLK,,,,,,,,,,,,
T16,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
